Authors,Year,Country first Author Affiliation,Journal,publisher,Full author information (please provide full first names),Title,"architecture = 1 urbanism = 2 
nature = 3",Research Topic,Research Topic - Fine grained,Motivation,Special Sample,num_participants,age_range,mean_age_participants,sex_perc_male,input_modality_cat,input_modality,stimulus material (visual),EEG_system_mobile_stationary,Protocoll_Lab_Real-world,lab_realworld_binary,EEG_system,EEG_company,SR_in_Hz,filters_amp,online_filters,num_channels,electrode_type,electrode_locations,Impedance,reference,offline_filters,Offline_High-Pass_(Hz),Offline_Low-Pass_(Hz),channel_interpolation,artifact_rejection,participant_mobility_score,score_participant_mobility,system_mobility_score,score_system_mobility,EEG_parameter_space,Subj_Behave_Parameter_space,EEG_features_cat,alpha_para,independent_Variable,dependent_Variable,analyzed ROIs/electrode locations,interpretation of parameter,Theories used for interpretation,other_measures,Fusion EEG-Subjective,Fusion EEG-Other Modalities,Confidence Claude Classification,Notes,analysis_Approach,analyses_approach_binary,ica_used,comments_Analysis,replicability,replicability_analyses,Data Availability,DOI_ /_Link,Famous_Quotes_1,Famous_Quotes_2,Famous_Quotes_3,Famous Quotes IV,added date,Contributor,edited date,edited by,Edited what,Full paper / conference proceeding,changes (student assistants)
Abbasi et al.,2020,Iran,Applied Ergonomics,Elsevier,"Ali Mohammad Abbasi, Majid Motamedzade, Mohsen Aliabadi, Rostam Golmohammadi, Leili Tapak",Combined effects of noise and air temperature on human neurophysiological responses in a simulated indoor environment,1,Multisensory & environmental stimuli,"Soundscapes & acoustic environments,  Thermal & climatic conditions",Fundamental understanding,0,35,NA,22.9,100%,auditory + temperature,"2,8",real world,stat,Lab,1,Nexus-4,mindmedia,256,NA/NA,0,1,wet electrodes,1,0,1,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",1,0 - All equipment off-body mounted and participant tethered via cabling to EEG acquisition equipment,0,"Frequency domain, 𝜃, ⍺, 𝛽",NA,2,1,noise level and temperature in office-like environment,"𝜃, ⍺, 𝛽",NA,"beta: mental stress, alpha: cognitive performance",NA,"ECG, resp, Performance",0,0,high,manual check Klaus confirmed Claude 22.06.2026,9 = NA,9,0,"no information about electrode location (only ""channel A according to 10-20 system""). No info about extraction of parameters. For preprocessing they only mention that it was performed by a software. ",3 - not replicable,3,NA,10.1016/j.apergo.2020.103189,,,,,12.05.2026,Izzy,20.06.2026,Klaus,electrode location is provided!,Full paper,
Ai et al.,2025,China,Front Psychol,Frontiers,"Lijiao Ai, Huan Wang, Yilong Feng, Ting Li, Zezhou Li, Min Zou, and Qiaoyong Zhang",The Healing Power of Camellia japonica L.: How Flower Types Influence Urban Residents' Physiological and Psychological Well-being,2,Nature & restorative environments,Biophilic & multisensory nature interventions,Health & therapeutic applications,0,158,17-54,20,27%,visual,1,still images,stat,Lab,1,Mindwave,NeuroSky,NA,NA / NA,0,1,NA,0,0,0,0,NA,NA,0,0,"0 - Lying, sitting, or standing still",0,4 - Head-mounted and requires smartphone/tablet,4,"Proprietary output, Frequency domain, ⍺, 𝛽",Profile of Mood State (POMS),2,1,colors and type of Camellia flower in different landscape scenes,"proprietary:relaxation and concentration value NeuroSky ⍺, 𝛽",NA,"relaxation, concentration","ART, SRT","ECG, Blood Pressure, Blood Oxygenation",0,0,high,,0 = Black Box,0,0,"Neurosky black box processing used, no information at all about set up and minimal information on experimental procedure - set up would not be replicable. Stimulus presentation not randomized. 

Analysis was supposedly performed on alpha and beta parameter output on 30 sec of image viewing - one trial per stimulus(-category). They speak of ""alpha and beta values"" but what i read out of the discussion it seems like they really used mood output from prop. algorithm (e.g. ""relaxation value"").

Baseline after stress induction was recorded during a task performance (filling out first questionnaire). simple t-tests for each stimulus separately. All in all some confusing information (in some parts they talk about between subject analysis when the design seems to be within, etc). Generally flawed experimental design. ",3 - not replicable,3,1,https://doi.org/10.3389/fpsyg.2025.1489859,"The alpha waves (8–12 Hz) are the gateway to meditation, relaxation, open-eyes dreaming, learning, the feeling of being present. They originate in the occipital area and advance to the frontal sides of the brain that process emotion and behavior.","There is a higher presence of mental illness in cities, 80% compared with 48% in the countryside, mainly depression, stress, and neurotic disorders, according to a meta-analysis by Reddy and Chandrashekar (1998).","The higher the EEG-beta, the less concentration value was measured.

""...blood pressure (telescopic and diastolic) was more sensitive than heart rate...""","Our results show that the mean relaxation value and concentration values of the experimental groups differed differently for different categories of picture stimuli, which responded from brainwave test results.",03.03.2025,"Izzy, Klaus",,,,,
Al-barrak et al.,2017,Saudi Arabia,PLoS One,PLOS,"Lulwah Al-barrak , Eiman Kanjo, and Eman M. G. Younis ",NeuroPlace: Categorizing urban places according to mental states,2,Methods & technology,Measurement frameworks & tool development,Methodological development,0,23,17-30,21,0%,real world all modalities,6,real world,mobile & stat,Real world,2,Mindwave,NeuroSky,512,NA / NA,0,1,NA,1,0,1,0,NA,NA,0,0,3 - Unconstrained walking/cyclin,3,4 - Head-mounted and requires smartphone/tablet,4,"𝜃, ⍺, 𝛽, λ, Frequency domain, δ, Proprietary output","questionnaires, Personal State Self-Assessment",2,1,restorativenes of places,"Meditation and attention, Freq, 𝜃, ⍺, 𝛽, λ",NA,"relaxation, attention",ART,NA,0,0,high,,0 = Black Box,0,0,this is a mixture of raw data processing without specification of the parameters in combination with the NeuroSky Block Box algorithm regarding meditative states; meditation levels and frequency bands calculated by NeuroSky's algorithms; Black Box due to equipment's algorithm,3 - not replicable,3,0,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0183890,,,,,,Klaus,,,,,
Alshamsi et al.,2026,United Arab Emirates,Indoor and Built Environ,Sage Publishing,"HHA Alshamsi, FM Alani, AH Khandoker, HF Jelinek, RS Goonetilleke",Biophilic and spatial features in virtual offices on emotion and cognition,"1, 3",Nature & restorative environments,Workspace & office environments,Design optimisation,0,10,NA,NA,50%,visual,1,still images,stat,Lab,1,Nexus-32,mindmedia,256,NA/NA,0,23,NA,1,1,1,1,1,40,0,1,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",1,0 - All equipment off-body mounted and participant tethered via cabling to EEG acquisition equipment,0,"Frequency domain, δ, 𝜃, ⍺, 𝛽, λ",NA,2,1,"high vs. low comfort potention environments (materials, greenery, window size, lighting, color, etc.)","δ,𝜃, ⍺, 𝛽, λ,","frontal, parietal, occipital","occipita/parietal alpha and theta: attentional recovery and emotional regulation
frontal and parietal beta and theta: attentional engagement and spatial processing ","Biophilia, ART",NA,0,0,medium,,"3 = Manual, 1 = ICA","1,3",1,"ok description of preprocessing and extraction of parameters, but artifact rejection and IC selection purely manual. No info on channel interpolation. Questionable study design",2 - partially replicable,2,1,10.1177/1420326X261440725,,,,,,Izzy,12.05.2026,,,,
Anwar et al.,2025,Saudi Arabia,Architecture,MDPI,"Raneem Anwar, Samah Elkhateeb, Samy Afifi, Karim Bayoumi",Brainwave Dynamics: Neurophysiological Responses to Enclosed Courtyards for Mental Wellbeing in Educational Contexts,"1, 2","Architectural & built interior spaces, Urban outdoor environments",Educational & healthcare spaces,Planning & policy evidence,1,16,18-22,NA,44%,real world all modalities,6,real world,stat,Real world,2,Neurosky Mindwave 2,NeuroSky,512,3-100Hz,1,1,dry electrodes,1,0,1,1,0.5,45,0,0,"0 - Lying, sitting, or standing still",0,4 - Head-mounted and requires smartphone/tablet,4,Frequency domain,NA,2,1,Courtyard,"ERSPs, Band Power",frontal,"internal relaxation, psychological restoration, fatigue recovery","ART, SRT",NA,0,0,medium,manual check Klaus OVERWRITE AZ 22.06.2026,9 = NA,9,0,Large number of band power and ERSP measures analyzed - from 1 electrode and no details on how artifacts were handled.,3 - not replicable,3,0,https://doi.org/10.3390/architecture5030076,"Theta (θ) was one of the brainwave frequencies that was recorded in the experiment. This frequency ranges from 4 to 8 Hz and is predominantly observed during sleep and daydreaming. It enables the individual to disconnect from the external environment, which, in turn, facilitates the acquisition of knowledge","Alpha (α) waves, which span the Beta and Theta bands ranging from 8 to 12 Hz, are indicative of the brain’s quiescent state",,,13.01.2026,Izzy,22.06.2026,Klaus,special sample students,,
Asim et al.,2023,India,Building and Environment,Elsevier,"Farhan Asim, P.S. Chani, Venu Shree and Shreya Rai",Restoring the mind: A neuropsychological investigation of university campus built environment aspects for student well-being,2,Urban outdoor environments,Streetscapes & pedestrian experience,Planning & policy evidence,0,22,18-23,20,50%,real world all modalities,6,real world,mobile & stat,Real world,2,Muse,InteraXon,256,NA / NA,0,4,dry electrodes,1,0,1,0,NA,NA,0,0,"0 - Lying, sitting, or standing still",0,4 - Head-mounted and requires smartphone/tablet,4,"𝜃, ⍺, 𝛽, λ, Frequency domain","Perceived Restorativeness Scale (PRS), questionnaires",2,1,green vs built density,"Restorativness Scale, Freq, 𝜃, ⍺, 𝛽, λ, FAA","frontal, temporal","relaxation, positive approach behavior","ART, SRT, Prospect Refuge Theory",NA,1,0,medium,,1 = ICA,1,1,"only 4 electrodes but ICA is used, no specifications of filter settings and results from ICA or noise removal, not replicable",3 - not replicable,3,1,https://doi.org/10.1016/j.buildenv.2023.110810,,,,,,Klaus,,,,,
Aspinall et al.,2015,UK,Br J Sports Med,BMJ Group,"Peter Aspinall, Panagiotis Mavros, Richard Coyne, and Jenny Roe",The urban brain: analysing outdoor physical activity with mobile EEG,2,Urban outdoor environments,Streetscapes & pedestrian experience,Planning & policy evidence,0,12,NA,30,67%,real world all modalities,6,real world,mobile,Real world,2,Emotiv EPOC,Emotiv,NA,NA / NA,0,14,NA,1,0,0,0,NA,NA,0,0,3 - Unconstrained walking/cyclin,3,4 - Head-mounted and requires smartphone/tablet,4,"Frequency domain, Proprietary output",NA,2,1,green vs grey urban environments,"propriatory Emotiv Pro Freq, 𝜃, ⍺, 𝛽, gamma",NA,"frustration, engagement, excitement, meditation",ART,NA,0,0,high,,0 = Black Box,0,0,"using Emotiv Testbench output; „We do not have direct access to the manufacturer’s algorithm relating to emotional parameters to raw EEG output on intellectual property rights (IPR) grounds.“ (Aspinall et al., 2015, p. 1); Black Box due to equipment's algorithm",3 - not replicable,3,NA,http://dx.doi.org/10.1136/bjsports-2012-091877,,,,,,Klaus,,,,,
Bacevice & Ducao,2022,USA,Intelligent Buildings International,Taylor & Francis,Peter A. Bacevice and Arlene Ducao,Use of biometric data and EEG to assess architectural quality of two office spaces: a pilot experiment,1,Architectural & built interior spaces,Workspace & office environments,Design optimisation,0,23,NA,NA,NA,real world all modalities,6,real world,mobile,Real world,2,Mindwave,NeuroSky,512,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,3 - Unconstrained walking/cyclin,3,4 - Head-mounted and requires smartphone/tablet,4,Proprietary output,NA,3,0,Meeting rooms vs. Work Areas vs. Pantry,proprietary relaxation and attention scores,NA,"relaxation, attention",NA,ECG,0,0,high,,0 = Black Box,0,0,Longitudinal data collection but Only Black Box Proprietary Outputs. Only descriptive statistics. ,3 - not replicable,3,NA,https://doi.org/10.1080/17508975.2021.1921683,,,,,08.01.2026,Izzy,,,,,
Bae & Bae,2021,South Korea,Int J Eng Trends and Technologies,Seventh Sense Research Group,"Seong-Geon Bae, Myung-Jin Bae","On the acoustic characteristics of Athabasca Falls, Canada",3,Multisensory & environmental stimuli,Soundscapes & acoustic environments,Health & therapeutic applications,0,1,22,22,100%,auditory,2,audio recordings,stat,Lab,1,NeuroHarmony,Braintech,512,45,1,2,NA,0,0,0,0,NA,NA,0,0,"0 - Lying, sitting, or standing still",0,2 - All equipment is waist-mounted,2,"Frequency domain, 𝜃, ⍺, 𝛽",NA,2,1,sound of waterfall vs. traffic,"𝜃, ⍺, 𝛽",NA,"alpha: relaxation, beta: concentration, theta: tiredness",NA,NA,0,0,high,,9 = NA,9,0,"One participant study reporting, no info on preprocessing etc. exclude?",3 - not replicable,3,NA,10.14445/22315381/IJETT-V69I3P202,The β wave frequency is 14-30 Hz and the amplitude is 5-20 μV. It appears when people perceive actions and actions. Usually the brain thinks about problems or performs intelligence. Waves are converted into these waves during cognitive activity.,,,,12.05.2026,Izzy,,,,,
Baek et al.,2025,South Korea,Building and Environment,Elsevier,"Daehwa Baek, Hyeongki Kim, Qun Wei, Sujin Lee, Lisa Lim","Evaluating the impact of windows, artificial windows, and ceiling height on stress levels through subjective and objective measures",1,Architectural & built interior spaces,Spatial form & geometry,Design optimisation,0,54,20-39,NA,54%,visual,1,real world,stat,Lab,1,BIOPAC MP160,BIOPAC,,NA,0,3,NA,1,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",1,0 - All equipment off-body mounted and participant tethered via cabling to EEG acquisition equipment,0,"Frequency domain, ⍺, 𝛽",questionnaires,2,1,ceiling height and window presence (artificial vs. none vs. real),⍺/𝛽 ratio,temporal,stress,SRT,"PPG, EDA, ECG",0,0,high,,9 = NA,9,0,"absolutely no info on set-up (except name of amp and electrode locs), preprocessing or feature extraction.",3 - not replicable,3,0,10.1016/j.buildenv.2025.113182,"""EEG signals reflect ANS activity""",,,,12.05.2026,Izzy,,,,,
